"OpenAI Ads (ChatGPT) Pixel","OpenAI Ads (ChatGPT) piksel"
"Enable Pixel","Vklopi piksel"
"Pixel ID","ID piksla"
"Debug Mode","Razhroscevanje"
"Events","Dogodki"
"Advanced Matching","Napredno ujemanje"
"Enable Advanced Matching","Vklopi napredno ujemanje"
"Send External ID","Poslji zunanji ID"
"Send City / Region / Postal Code / Country","Poslji mesto / regijo / postno stevilko / drzavo"
"Conversions API (server-side)","Conversions API (streznisko)"
"Enable Conversions API","Vklopi Conversions API"
"API Key","API kljuc"
"Server-side Events","Streznizki dogodki"
"Timeout (seconds)","Casovna omejitev (sekunde)"
"Validate Only (dry run)","Samo preveri (brez zapisa)"
"Cookie Consent","Privolitev za piskotke"
"Require Consent","Zahtevaj privolitev"
"Consent Cookie Name","Ime piskotka privolitve"
"Consent Cookie Value","Vrednost piskotka privolitve"
"Support","Podpora"
"General","Splosno"
"Technical support, custom Magento development and setup: %1","Tehnicna podpora, razvoj po meri in nastavitev: %1"
"Documentation and issues: %1","Dokumentacija in prijava napak: %1"
